Governor,Prompt,Element,Tarot,Colors,Filename
ABRIOND,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Air element symbolism. Outfit is unique: silvery-white and pale azure ethereal flowing robes with geometric patterns with hexagonal, octahedral, fractal patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ABRIOND's profile: 'He who prepares his kingdom', Aethyr POP, Air element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Hermit,"silvery-white, pale azure",ABRIOND_art.png
ADVORPT,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric structure head shape. Hair or precise geometric hair ornaments incorporating Water element symbolism. Outfit is unique: silvery_blue and pearl_white fluid draped garments with wave patterns with hexagonal_matrix, fractal_water_crystal patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ADVORPT's profile: 'She who silently watches', Aethyr TEX, Water element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hermit,"silvery_blue, pearl_white",ADVORPT_art.png
AMBRIOL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a howling at the moon pose. Chibi proportions with flowing water-like form head shape. Hair or fish-like scaled patterns incorporating Fire element symbolism. Outfit is unique: luminous indigo and silver-blue angular armor with flame motifs with Vesica Piscis, Wave Spiral, Merkaba lattice patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor AMBRIOL's profile: 'He who continuously comforts', Aethyr LOE, Fire element, Tarot The Moon, Sephirot Yesod, Zodiac Pisces. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Moon,"luminous indigo, silver-blue",AMBRIOL_art.png
ANDISPI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric structure head shape. Hair or sharp angular features incorporating Water element symbolism. Outfit is unique: deep indigo and silver-blue fluid draped garments with wave patterns with fractal wave forms, hexagonal water crystals patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ANDISPI's profile: 'He who binds into obedience', Aethyr ZOM, Water element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Death,"deep indigo, silver-blue",ANDISPI_art.png
ASPIAON,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: scorching crimson and deep obsidian black angular armor with flame motifs with hexagonal, merkaba, flower_of_life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ASPIAON's profile: 'She who precedes inner truth', Aethyr DEO, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"scorching crimson, deep obsidian black",ASPIAON_art.png
AXXIARG,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric structure head shape. Hair or mane-like flowing hair incorporating Water element symbolism. Outfit is unique: sapphire_blue and silver_mercury fluid draped garments with wave patterns with vesica_piscis, merkaba_star patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor AXXIARG's profile: 'He whose name is Flame', Aethyr PAZ, Water element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Strength,"sapphire_blue, silver_mercury",AXXIARG_art.png
AYDROPT,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Air element symbolism. Outfit is unique: pale silver-azure and luminous white ethereal flowing robes with geometric patterns with Merkaba, Flower of Life, Vesica Piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor AYDROPT's profile: 'She who sees us with equality', Aethyr TAN, Air element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Justice,"pale silver-azure, luminous white",AYDROPT_art.png
CALZIRG,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Earth element symbolism. Outfit is unique: deep azure and silver-gray solid structured clothing with crystalline details with hexagonal, fractal, geodesic patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor CALZIRG's profile: 'She who is in the firmament', Aethyr LIN, Earth element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Star,"deep azure, silver-gray",CALZIRG_art.png
CHASLPO,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Earth element symbolism. Outfit is unique: golden amber and deep forest green solid structured clothing with crystalline details with dodecahedron, fractal spiral, merkaba patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor CHASLPO's profile: 'He of wonderous joy', Aethyr NIA, Earth element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Strength,"golden amber, deep forest green",CHASLPO_art.png
CHIRZPA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with tetrahedron, octahedron, stellated polyhedron patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor CHIRZPA's profile: 'He who enjoys loud sounds', Aethyr ASP, Air element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Emperor,"electric blue, silver-white",CHIRZPA_art.png
COMANAN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Spirit element symbolism. Outfit is unique: deep indigo and silver-white mystical robes with merkaba, flower_of_life, vesica_piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor COMANAN's profile: 'He who knows how to manifest', Aethyr ZAX, Spirit element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Spirit,Justice,"deep indigo, silver-white",COMANAN_art.png
CRALPIR,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: crimson and golden amber angular armor with flame motifs with tetrahedron, merkaba patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor CRALPIR's profile: 'He of bright joy', Aethyr ZIP, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"crimson, golden amber",CRALPIR_art.png
CRPANIB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a seated with hands on knees pose. Chibi proportions with geometric crystal-like structure head shape. Hair or shell-like protective elements incorporating Earth element symbolism. Outfit is unique: deep charcoal gray and silver-moon white solid structured clothing with crystalline details with octahedron, merkaba, flower of life patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor CRPANIB's profile: 'He who destroys speech', Aethyr ZAA, Earth element, Tarot The High Priestess, Sephirot Yesod, Zodiac Cancer. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The High Priestess,"deep charcoal gray, silver-moon white",CRPANIB_art.png
CUCARPT,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Air element symbolism. Outfit is unique: silver-white and electric blue ethereal flowing robes with geometric patterns with octahedral, fractal, merkaba patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor CUCARPT's profile: 'She who replaces what was with something similar', Aethyr LEA, Air element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Death,"silver-white, electric blue",CUCARPT_art.png
DIALOIA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Water element symbolism. Outfit is unique: silver-blue and pearl-white fluid draped garments with wave patterns with hexagonal, fractal, vesica_piscis patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor DIALOIA's profile: 'The god where truth is', Aethyr ARN, Water element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hermit,"silver-blue, pearl-white",DIALOIA_art.png
DOAGNIS,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a howling at the moon pose. Chibi proportions with flowing water-like form head shape. Hair or fish-like scaled patterns incorporating Water element symbolism. Outfit is unique: silver-blue and pearl-white fluid draped garments with wave patterns with Vesica Piscis, Wave interference patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor DOAGNIS's profile: 'She who comes without a name', Aethyr ARN, Water element, Tarot The Moon, Sephirot Yesod, Zodiac Pisces. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Moon,"silver-blue, pearl-white",DOAGNIS_art.png
DOANZIN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Fire element symbolism. Outfit is unique: sapphire blue and flame orange angular armor with flame motifs with fractal, merkaba, flower_of_life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor DOANZIN's profile: 'He who names the waters', Aethyr ZIP, Fire element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Temperance,"sapphire blue, flame orange",DOANZIN_art.png
DOCEPAX,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Fire element symbolism. Outfit is unique: deep crimson and electric gold angular armor with flame motifs with octahedron, flame-spiral, justice-scale patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor DOCEPAX's profile: 'He who names only great names', Aethyr ZIM, Fire element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Justice,"deep crimson, electric gold",DOCEPAX_art.png
DOXMAEL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a reclining with one hand extended pose. Chibi proportions with geometric structure head shape. Hair or bull-like sturdy build incorporating Water element symbolism. Outfit is unique: pearl_luminescence and deep_indigo fluid draped garments with wave patterns with vesica_piscis, fibonacci_spiral, wave_interference patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor DOXMAEL's profile: 'He who establishes the night', Aethyr TEX, Water element, Tarot The Empress, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Empress,"pearl_luminescence, deep_indigo",DOXMAEL_art.png
GECAOND,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Fire element symbolism. Outfit is unique: amber-gold and crimson angular armor with flame motifs with Merkaba, Flower of Life, Hexagonal fractal patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor GECAOND's profile: 'She who only obeys', Aethyr ZIM, Fire element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Justice,"amber-gold, crimson",GECAOND_art.png
GEDOONS,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a arms open in welcoming gesture pose. Chibi proportions with geometric crystal-like structure head shape. Hair or twin-like symmetrical features incorporating Fire element symbolism. Outfit is unique: electric blue and obsidian black angular armor with flame motifs with hexagonal prism, merkaba star, vesica piscis patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor GEDOONS's profile: 'He who eliminates your name', Aethyr LOE, Fire element, Tarot The Lovers, Sephirot Hod, Zodiac Gemini. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Lovers,"electric blue, obsidian black",GEDOONS_art.png
GEMNIMB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric structure head shape. Hair or precise geometric hair ornaments incorporating Water element symbolism. Outfit is unique: aquamarine and silvery-pearl fluid draped garments with wave patterns with hexagonal_water_crystal, spiral_wave, vesica_piscis patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor GEMNIMB's profile: 'He who is only for a season', Aethyr TEX, Water element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hermit,"aquamarine, silvery-pearl",GEMNIMB_art.png
GENADOL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Fire element symbolism. Outfit is unique: amber-gold and crimson angular armor with flame motifs with octahedron, flame-vortex, star-tetrahedron patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor GENADOL's profile: 'He who only attracts', Aethyr DEO, Fire element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Strength,"amber-gold, crimson",GENADOL_art.png
GMTZIAM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Earth element symbolism. Outfit is unique: deep earth-slate and mercury-silver solid structured clothing with crystalline details with hexagonal, fibonacci spiral, merkaba patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor GMTZIAM's profile: 'She who knows only herself', Aethyr RII, Earth element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Hermit,"deep earth-slate, mercury-silver",GMTZIAM_art.png
LAPARIN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a dancing with arms raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Fire element symbolism. Outfit is unique: golden-amber and luminous crimson angular armor with flame motifs with merkaba, flower_of_life, solar_mandala patterns. Include subtle accessory like geometric emblem. Emulate construction paper layering style exactly, but make this visually unique based on Governor LAPARIN's profile: 'He who is the protector of man', Aethyr ZIM, Fire element, Tarot The Sun, Sephirot Tiphereth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Sun,"golden-amber, luminous crimson",LAPARIN_art.png
LAVACON,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Air element symbolism. Outfit is unique: luminous sapphire blue and platinum white ethereal flowing robes with geometric patterns with tetrahedron, merkaba, flower of life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor LAVACON's profile: 'The happy one', Aethyr LEA, Air element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Temperance,"luminous sapphire blue, platinum white",LAVACON_art.png
LAZDIXI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with both hands raised in blessing pose. Chibi proportions with geometric structure head shape. Hair or bull-like sturdy build incorporating Water element symbolism. Outfit is unique: oceanic teal and silver-white fluid draped garments with wave patterns with hexagonal water crystal, merkaba, vesica piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor LAZDIXI's profile: 'He who has no supreme name', Aethyr LIT, Water element, Tarot The Hierophant, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hierophant,"oceanic teal, silver-white",LAZDIXI_art.png
LAZHIIM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with both hands raised in blessing pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Earth element symbolism. Outfit is unique: deep olive green and bronze solid structured clothing with crystalline details with hexagonal, fractal, nested patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor LAZHIIM's profile: 'He who makes use of the day', Aethyr DES, Earth element, Tarot The Hierophant, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Hierophant,"deep olive green, bronze",LAZHIIM_art.png
LEXARPH,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with both hands raised in blessing pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Spirit element symbolism. Outfit is unique: silver-white and pale turquoise mystical robes with Merkaba, Flower of Life, Vesica Piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor LEXARPH's profile: 'He who is first of the air', Aethyr ZAX, Spirit element, Tarot The Hierophant, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Spirit,The Hierophant,"silver-white, pale turquoise",LEXARPH_art.png
MATHVLA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a rising with arms spread pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Earth element symbolism. Outfit is unique: deep charcoal and burnished bronze solid structured clothing with crystalline details with octahedron, fractal earth matrix, merkaba patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor MATHVLA's profile: 'He who ends actions', Aethyr ZAA, Earth element, Tarot Judgement, Sephirot Hod, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Judgement,"deep charcoal, burnished bronze",MATHVLA_art.png
